model_id,n_params,gpu_model,tdp_w,train_type,task,downloads,likes,source
daekeun-ml/koelectra-small-v3-nsmc,,,,pre-train,text-classification,1381739,6,huggingface
HuggingFaceTB/SmolLM2-135M,1700000000.0,h100,700.0,pre-train,text-generation,1381190,198,huggingface
TrustSafeAI/RADAR-Vicuna-7B,7000000000.0,,,unknown,text-classification,1378016,13,huggingface
cyankiwi/Qwen3.6-35B-A3B-AWQ-4bit,35000000000.0,,,unknown,image-text-to-text,1376222,75,huggingface
stabilityai/stable-diffusion-xl-base-1.0,,,,pre-train,text-to-image,1372922,7805,huggingface
meta-llama/Meta-Llama-3-8B-Instruct,8000000000.0,h100,700.0,pre-train,text-generation,1362807,4587,huggingface
google/siglip-so400m-patch14-384,400000000000.0,,,pre-train,zero-shot-image-classification,1355672,675,huggingface
Comfy-Org/flux2-dev,,,,unknown,unknown,1354782,257,huggingface
Comfy-Org/Qwen-Image_ComfyUI,,,,unknown,unknown,1350601,427,huggingface
Qwen/Qwen3.5-122B-A10B-FP8,122000000000.0,,,unknown,image-text-to-text,1344402,103,huggingface
dslim/bert-base-NER,66000000000.0,v100,300.0,fine-tune,token-classification,1337139,718,huggingface
zai-org/GLM-5.1-FP8,,,,unknown,text-generation,1322417,110,huggingface
rizvandwiki/gender-classification,,,,unknown,image-classification,1317751,60,huggingface
jonatasgrosman/wav2vec2-large-xlsr-53-japanese,,,,fine-tune,automatic-speech-recognition,1314428,57,huggingface
Systran/faster-whisper-base,,,,unknown,automatic-speech-recognition,1311711,28,huggingface
KomeijiForce/bart-large-emojilm,,,,pre-train,text-generation,1304299,0,huggingface
cardiffnlp/twitter-xlm-roberta-base-sentiment,198000000000.0,,,fine-tune,text-classification,1303620,263,huggingface
meta-llama/Meta-Llama-3-8B,8000000000.0,h100,700.0,pre-train,text-generation,1302979,6569,huggingface
datajuicer/LLaMA-1B-dj-refine-150B,1000000000.0,,,pre-train,text-generation,1282512,3,huggingface
BAAI/bge-multilingual-gemma2,8000000000.0,,,pre-train,feature-extraction,1277091,202,huggingface
cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,,,,pre-train,text-ranking,1273673,75,huggingface
microsoft/TRELLIS-image-large,,,,unknown,image-to-3d,1270052,653,huggingface
unslothai/1,,,,unknown,feature-extraction,1270030,1,huggingface
meta-llama/Llama-3.1-8B,1000000000.0,h100,700.0,pre-train,text-generation,1265513,2248,huggingface
audeering/wav2vec2-large-robust-24-ft-age-gender,,,,pre-train,audio-classification,1257552,53,huggingface
amazon/chronos-bolt-base,100000000000.0,,,pre-train,time-series-forecasting,1253619,91,huggingface
cross-encoder/ms-marco-MiniLM-L2-v2,,v100,300.0,pre-train,text-ranking,1244638,14,huggingface
nvidia/DeepSeek-R1-0528-NVFP4-v2,,,,unknown,text-generation,1244398,23,huggingface
nomic-ai/nomic-embed-vision-v1.5,3000000000.0,,,pre-train,image-feature-extraction,1233328,219,huggingface
facebook/esm2_t6_8M_UR50D,15000000000.0,t4,70.0,unknown,fill-mask,1222752,34,huggingface
microsoft/Phi-4-mini-instruct,3800000000.0,a100,400.0,pre-train,text-generation,1221436,763,huggingface
google/siglip-base-patch16-224,,,,pre-train,zero-shot-image-classification,1221078,83,huggingface
prajjwal1/bert-tiny,,,,pre-train,unknown,1215317,146,huggingface
prithivida/parrot_paraphraser_on_T5,,,,pre-train,unknown,1212683,161,huggingface
ai21labs/Jamba-tiny-dev,52000000000.0,,,unknown,unknown,1195670,14,huggingface
StanfordAIMI/stanford-deidentifier-base,,,,unknown,token-classification,1192691,81,huggingface
shibing624/text2vec-base-chinese,,,,pre-train,sentence-similarity,1192079,796,huggingface
unsloth/Qwen3.6-27B-GGUF,27000000000.0,,,fine-tune,image-text-to-text,1186146,775,huggingface
QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,30000000000.0,,,pre-train,text-generation,1179903,43,huggingface
NeoQuasar/Kronos-small,12000000000.0,,,pre-train,time-series-forecasting,1172494,21,huggingface
Alibaba-NLP/gte-multilingual-base,9000000000.0,,,pre-train,sentence-similarity,1171961,364,huggingface
Qwen/Qwen2.5-1.5B,72000000000.0,,,unknown,text-generation,1171748,185,huggingface
Qwen/Qwen3-Reranker-4B,4000000000.0,,,pre-train,text-ranking,1155255,142,huggingface
Qwen/Qwen3-Reranker-0.6B,600000000.0,,,pre-train,text-ranking,1154412,363,huggingface
Qwen/Qwen2.5-Coder-14B-Instruct-AWQ,32000000000.0,,,pre-train,text-generation,1143923,20,huggingface
openai/clip-vit-base-patch16,100000000000.0,,,pre-train,zero-shot-image-classification,1135748,163,huggingface
Qwen/Qwen3-Reranker-8B,8000000000.0,,,pre-train,text-ranking,1134308,235,huggingface
AdamCodd/vit-base-nsfw-detector,1000000.0,,,fine-tune,image-classification,1128599,78,huggingface
microsoft/table-transformer-structure-recognition,1000000000.0,,,fine-tune,object-detection,1127436,217,huggingface
nm-testing/SmolLM-1.7B-Instruct-quantized.w4a16,1700000000.0,t4,70.0,pre-train,text-generation,1122005,0,huggingface
RedHatAI/Qwen2.5-1.5B-quantized.w8a8,1500000000.0,,,pre-train,text-generation,1120012,4,huggingface
google/fnet-base,,v100,300.0,fine-tune,unknown,1117402,18,huggingface
amazon/chronos-bolt-tiny,100000000000.0,,,pre-train,time-series-forecasting,1117203,28,huggingface
google/gemma-4-E2B,2000000000.0,,,pre-train,any-to-any,1116248,324,huggingface
mistralai/Voxtral-Mini-4B-Realtime-2602,3000000000.0,,,pre-train,automatic-speech-recognition,1115014,874,huggingface
BAAI/bge-large-zh-v1.5,7000000000.0,,,fine-tune,feature-extraction,1113040,630,huggingface
litert-community/gemma-4-E2B-it-litert-lm,2000000000.0,t4,70.0,unknown,unknown,1102932,252,huggingface
Lightricks/LTX-2.3-fp8,22000000000.0,,,unknown,image-to-video,1099162,107,huggingface
Alibaba-NLP/gte-reranker-modernbert-base,1000000000.0,,,pre-train,text-ranking,1096557,96,huggingface
mlx-community/parakeet-tdt-0.6b-v3,600000000.0,,,unknown,automatic-speech-recognition,1095792,46,huggingface
Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,32000000000.0,,,pre-train,text-generation,1094744,37,huggingface
dominguesm/legal-bert-base-cased-ptbr,,,,pre-train,fill-mask,1093535,15,huggingface
nvidia/Llama-3.1-Nemotron-Nano-VL-8B-V1,8000000000.0,h100,700.0,pre-train,image-text-to-text,1091760,180,huggingface
unslothai/repeat,,,,unknown,feature-extraction,1091371,0,huggingface
zai-org/GLM-4.7-Flash,30000000000.0,,,pre-train,text-generation,1090519,1745,huggingface
nvidia/Gemma-4-26B-A4B-NVFP4,26000000000.0,,,unknown,text-generation,1085888,75,huggingface
tencent/HunyuanImage-3.0,80000000000.0,,,pre-train,text-to-image,1068425,1092,huggingface
unsloth/Qwen3.6-27B-MTP-GGUF,27000000000.0,l4,72.0,fine-tune,image-text-to-text,1067735,703,huggingface
Qdrant/all-MiniLM-L6-v2-onnx,,,,unknown,sentence-similarity,1065829,7,huggingface
facebook/wav2vec2-base-960h,,,,fine-tune,automatic-speech-recognition,1064661,398,huggingface
timm/efficientnet_b0.ra_in1k,,,,pre-train,image-classification,1061129,9,huggingface
h2oai/h2ovl-mississippi-800m,800000000.0,,,pre-train,text-generation,1058916,40,huggingface
mixedbread-ai/mxbai-rerank-base-v1,7000000000.0,l4,72.0,pre-train,text-ranking,1056378,46,huggingface
Helsinki-NLP/opus-mt-nl-en,,,,unknown,translation,1052737,10,huggingface
rhasspy/faster-whisper-base-int8,,,,unknown,unknown,1052644,2,huggingface
NeoQuasar/Kronos-base,12000000000.0,,,pre-train,time-series-forecasting,1049520,175,huggingface
unsloth/gemma-4-E2B-it-GGUF,2000000000.0,,,fine-tune,image-text-to-text,1043950,237,huggingface
unsloth/Qwen3.5-9B-GGUF,9000000000.0,,,unknown,image-text-to-text,1033538,673,huggingface
Qwen/Qwen2.5-32B-Instruct,72000000000.0,,,pre-train,text-generation,1030586,351,huggingface
cyankiwi/gemma-4-31B-it-AWQ-4bit,31000000000.0,,,pre-train,image-text-to-text,1030419,48,huggingface
RedHatAI/gemma-4-26B-A4B-it-NVFP4,26000000000.0,,,unknown,unknown,1029945,35,huggingface
h2oai/h2ovl-mississippi-2b,2000000000.0,,,pre-train,text-generation,1026202,42,huggingface
google/siglip2-so400m-patch16-naflex,400000000000.0,,,pre-train,zero-shot-image-classification,1023424,68,huggingface
sshleifer/distilbart-cnn-12-6,,,,pre-train,summarization,1019063,320,huggingface
SamLowe/roberta-base-go_emotions,,,,pre-train,text-classification,1012877,677,huggingface
deepseek-ai/DeepSeek-V2-Lite-Chat,16000000000.0,,,pre-train,text-generation,1012585,141,huggingface
deepseek-ai/DeepSeek-V3,671000000000.0,t4,70.0,unknown,text-generation,1010139,4085,huggingface
cyankiwi/Qwen3.5-4B-AWQ-4bit,4000000000.0,,,unknown,image-text-to-text,1010060,14,huggingface
almanach/camembert-base,110000000000.0,,,pre-train,fill-mask,999202,102,huggingface
google/siglip2-so400m-patch16-256,400000000000.0,,,pre-train,zero-shot-image-classification,997554,3,huggingface
fixie-ai/ultravox-v0_5-llama-3_2-1b,1000000000.0,h100,700.0,fine-tune,audio-text-to-text,996996,80,huggingface
Systran/faster-whisper-tiny.en,,,,unknown,automatic-speech-recognition,992175,10,huggingface
Qwen/Qwen3-VL-Embedding-2B,2000000000.0,,,unknown,sentence-similarity,991335,413,huggingface
jonatasgrosman/wav2vec2-large-xlsr-53-chinese-zh-cn,,,,fine-tune,automatic-speech-recognition,984809,134,huggingface
black-forest-labs/FLUX.1-dev,12000000000.0,,,pre-train,text-to-image,984011,13134,huggingface
cyankiwi/Qwen3.5-9B-AWQ-4bit,9000000000.0,,,unknown,image-text-to-text,976414,31,huggingface
Qwen/Qwen3-Coder-Next,3000000000.0,,,pre-train,text-generation,976368,1433,huggingface
Qwen/Qwen2.5-VL-7B-Instruct-AWQ,72000000000.0,,,pre-train,image-text-to-text,974362,105,huggingface
Qwen/Qwen2-0.5B-Instruct,72000000000.0,,,pre-train,text-generation,972547,201,huggingface
Snowflake/snowflake-arctic-embed-l-v2.0,303000000000.0,t4,70.0,pre-train,sentence-similarity,963008,247,huggingface
nvidia/Kimi-K2.5-NVFP4,,t4,70.0,fine-tune,text-generation,959025,86,huggingface
Systran/faster-whisper-large-v3,,,,unknown,automatic-speech-recognition,958327,591,huggingface
unsloth/gemma-4-E4B-it-GGUF,4000000000.0,,,fine-tune,image-text-to-text,957512,491,huggingface
sentence-transformers-testing/stsb-bert-tiny-safetensors,,,,pre-train,sentence-similarity,948569,4,huggingface
Qwen/Qwen3.5-397B-A17B,397000000000.0,,,unknown,image-text-to-text,943229,1504,huggingface
sentence-transformers/distiluse-base-multilingual-cased-v1,,,,unknown,sentence-similarity,941369,131,huggingface
distil-whisper/distil-large-v3,,,,pre-train,automatic-speech-recognition,933990,375,huggingface
jinaai/jina-reranker-v3,600000000.0,,,pre-train,text-ranking,929480,137,huggingface
nlptown/bert-base-multilingual-uncased-sentiment,,,,fine-tune,text-classification,929024,478,huggingface
jinaai/jina-embeddings-v2-small-en,400000000.0,,,pre-train,feature-extraction,926264,141,huggingface
lmstudio-community/gemma-4-E4B-it-GGUF,4000000000.0,,,unknown,unknown,923827,43,huggingface
Qwen/Qwen3-Coder-Next-FP8,3000000000.0,,,pre-train,text-generation,917320,150,huggingface
unsloth/Qwen3.6-35B-A3B-MTP-GGUF,35000000000.0,l4,72.0,fine-tune,image-text-to-text,915489,481,huggingface
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,1000000000.0,,,pre-train,sentence-similarity,914995,137,huggingface
facebook/nllb-200-distilled-600M,600000000000.0,,,unknown,translation,914225,917,huggingface
RedHatAI/Llama-3.2-1B-Instruct-FP8,1000000000.0,,,pre-train,text-generation,910875,4,huggingface
microsoft/wavlm-large,,,,fine-tune,feature-extraction,910025,107,huggingface
google/owlv2-base-patch16-ensemble,100000000000.0,,,fine-tune,zero-shot-object-detection,907289,124,huggingface
Qwen/Qwen2-0.5B,72000000000.0,,,pre-train,text-generation,906427,167,huggingface
meta-llama/Llama-3.2-3B,1000000000.0,h100,700.0,pre-train,text-generation,905721,811,huggingface
Qwen/Qwen3-TTS-12Hz-0.6B-CustomVoice,600000000.0,,,pre-train,text-to-speech,905662,155,huggingface
microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,15000000.0,,,pre-train,zero-shot-image-classification,898464,410,huggingface
microsoft/TRELLIS.2-4B,4000000000.0,a100,400.0,fine-tune,image-to-3d,896567,916,huggingface
TheBloke/TinyLlama-1.1B-Chat-v0.3-GPTQ,1100000000.0,a100,400.0,fine-tune,text-generation,888377,10,huggingface
hubertsiuzdak/snac_24khz,19800000000.0,,,pre-train,unknown,876892,62,huggingface
Helsinki-NLP/opus-mt-en-de,,,,pre-train,translation,871738,45,huggingface
microsoft/Phi-3.5-mini-instruct,3800000000.0,a100,400.0,pre-train,text-generation,870270,987,huggingface
Qwen/Qwen2.5-72B-Instruct,72000000000.0,,,pre-train,text-generation,867954,949,huggingface
Tongyi-MAI/Z-Image-Turbo,6000000000.0,,,fine-tune,text-to-image,864985,4785,huggingface
Qwen/Qwen2.5-1.5B-Instruct-AWQ,72000000000.0,,,pre-train,text-generation,864145,7,huggingface
trl-internal-testing/tiny-Qwen2ForSequenceClassification-2.5,,,,unknown,text-classification,859373,1,huggingface
amazon/chronos-t5-tiny,8000000000.0,,,pre-train,time-series-forecasting,857265,121,huggingface
nomic-ai/nomic-embed-text-v2-moe,1600000000.0,l4,72.0,pre-train,sentence-similarity,856391,482,huggingface
thenlper/gte-large,,,,pre-train,sentence-similarity,856236,304,huggingface
Qwen/Qwen2.5-Coder-3B,32000000000.0,,,unknown,text-generation,853174,51,huggingface
microsoft/tapex-base-finetuned-wikisql,,,,fine-tune,table-question-answering,850103,24,huggingface
prefeitura-rio/Rio-3.0-Open,235000000000.0,,,pre-train,text-generation,847232,5,huggingface
llava-hf/llava-onevision-qwen2-0.5b-ov-hf,500000000.0,,,pre-train,image-text-to-text,847025,55,huggingface
Systran/faster-whisper-small,,,,unknown,automatic-speech-recognition,846357,34,huggingface
nvidia/Kimi-K2.6-NVFP4,32000000000.0,t4,70.0,fine-tune,text-generation,846329,34,huggingface
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,33000000000.0,t4,70.0,pre-train,text-generation,844266,608,huggingface
Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,30000000000.0,,,pre-train,text-generation,843244,183,huggingface
iitolstykh/mivolo_v2,,,,pre-train,unknown,842701,29,huggingface
sentence-transformers/LaBSE,,,,unknown,sentence-similarity,837533,342,huggingface
Xenova/multilingual-e5-small,,,,unknown,feature-extraction,836501,11,huggingface
microsoft/deberta-v3-large,304000000000.0,,,unknown,fill-mask,835708,280,huggingface
rippertnt/HyperCLOVAX-SEED-Text-Instruct-1.5B-Q4_K_M-GGUF,1500000000.0,,,unknown,unknown,833369,4,huggingface
Qwen/Qwen3.5-397B-A17B-FP8,397000000000.0,,,unknown,image-text-to-text,832523,175,huggingface
dropbox-dash/faster-whisper-large-v3-turbo,,,,unknown,unknown,831659,59,huggingface
HuggingFaceTB/SmolVLM-256M-Instruct,8000000000.0,,,pre-train,image-text-to-text,826901,364,huggingface
antirez/deepseek-v4-gguf,,,,unknown,text-generation,826564,238,huggingface
nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-NVFP4,1000000000.0,a100,400.0,fine-tune,any-to-any,825822,134,huggingface
NeoQuasar/Kronos-mini,12000000000.0,,,pre-train,time-series-forecasting,825780,23,huggingface
j-hartmann/emotion-english-distilroberta-base,,,,fine-tune,text-classification,825186,495,huggingface
stabilityai/sdxl-turbo,,,,fine-tune,text-to-image,824493,2585,huggingface
indonesian-nlp/wav2vec2-indonesian-javanese-sundanese,,,,fine-tune,automatic-speech-recognition,822607,15,huggingface
Qwen/Qwen3-30B-A3B-Instruct-2507,30000000000.0,,,pre-train,text-generation,821913,815,huggingface
ai4bharat/indic-parler-tts,4000000000.0,,,fine-tune,text-to-speech,820738,234,huggingface
Qwen/Qwen2.5-Omni-7B,7000000000.0,,,pre-train,any-to-any,815507,1902,huggingface
OpenGVLab/InternVL2-1B,1000000000.0,,,pre-train,image-text-to-text,815335,81,huggingface
Qwen/Qwen3-ASR-0.6B,1700000000.0,,,pre-train,automatic-speech-recognition,814740,300,huggingface
ahotrod/electra_large_discriminator_squad2_512,,,,fine-tune,question-answering,814109,7,huggingface
mistralai/Mixtral-8x7B-Instruct-v0.1,7000000000.0,,,fine-tune,unknown,810943,4694,huggingface
timm/tf_efficientnetv2_s.in21k_ft_in1k,,,,fine-tune,image-classification,810804,2,huggingface
microsoft/phi-4,14000000000.0,h100,700.0,unknown,text-generation,809973,2252,huggingface
deepseek-ai/DeepSeek-V3-0324,,,,unknown,text-generation,806139,3127,huggingface
Qwen/Qwen2.5-7B,72000000000.0,,,unknown,text-generation,800481,291,huggingface
amunchet/rorshark-vit-base,,,,fine-tune,image-classification,798261,3,huggingface
unsloth/Qwen3-30B-A3B-Instruct-2507-GGUF,30000000000.0,,,fine-tune,unknown,792101,309,huggingface
nvidia/parakeet-ctc-1.1b,1100000000.0,,,pre-train,automatic-speech-recognition,790396,49,huggingface
Qwen/Qwen3-VL-30B-A3B-Instruct,30000000000.0,,,pre-train,image-text-to-text,783446,577,huggingface
GSAI-ML/LLaDA-8B-Instruct,8000000000.0,,,unknown,text-generation,783151,358,huggingface
Qwen/Qwen3-4B-Base,4000000000.0,,,pre-train,text-generation,780735,95,huggingface
sentence-transformers/paraphrase-MiniLM-L3-v2,,,,pre-train,sentence-similarity,778588,29,huggingface
google/siglip2-base-patch16-naflex,,,,pre-train,zero-shot-image-classification,772332,30,huggingface
EleutherAI/gpt-neo-2.7B,420000000000.0,,,pre-train,text-generation,770840,503,huggingface
deepseek-ai/deepseek-vl2-tiny,1000000000.0,,,pre-train,image-text-to-text,770320,248,huggingface
opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill,133000000000.0,,,pre-train,feature-extraction,770123,19,huggingface
Qwen/Qwen3-4B-Instruct-2507-FP8,4000000000.0,,,pre-train,text-generation,767273,79,huggingface
Qwen/Qwen2.5-32B-Instruct-AWQ,72000000000.0,,,pre-train,text-generation,766890,101,huggingface
LiquidAI/LFM2.5-VL-450M,7000000000.0,,,pre-train,image-text-to-text,765520,184,huggingface
circlestone-labs/Anima,2000000000.0,,,pre-train,unknown,763789,1678,huggingface
sentence-transformers/distiluse-base-multilingual-cased-v2,,,,unknown,sentence-similarity,761567,209,huggingface
nvidia/Llama-3_3-Nemotron-Super-49B-v1_5,40000000000.0,a100,400.0,unknown,text-generation,760952,233,huggingface
jhgan/ko-sroberta-multitask,,,,pre-train,sentence-similarity,760368,147,huggingface
Qwen/Qwen3.5-122B-A10B,122000000000.0,,,unknown,image-text-to-text,755217,568,huggingface
GozdeA/finetuned-bertweet-poskd3,,,,fine-tune,token-classification,752606,0,huggingface
audeering/wav2vec2-large-robust-12-ft-emotion-msp-dim,,,,pre-train,audio-classification,751709,167,huggingface
Qdrant/bge-small-en-v1.5-onnx-Q,,,,unknown,sentence-similarity,747193,2,huggingface
Qwen/Qwen2.5-Coder-1.5B-Instruct,32000000000.0,,,pre-train,text-generation,743888,125,huggingface
buildborderless/CommunityForensics-DeepfakeDet-ViT,2700000000.0,,,fine-tune,image-classification,742217,13,huggingface
Qwen/Qwen3-1.7B-Base,1700000000.0,,,pre-train,text-generation,741716,74,huggingface
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16,120000000000.0,a100,400.0,fine-tune,text-generation,736531,380,huggingface
AxionML/Qwen3.5-9B-NVFP4,9000000000.0,,,unknown,image-text-to-text,734583,17,huggingface
apple/DFN2B-CLIP-ViT-B-16,2000000000.0,,,pre-train,unknown,730799,13,huggingface
pyannote/speaker-diarization,,v100,300.0,pre-train,automatic-speech-recognition,728622,1279,huggingface
hmellor/tiny-random-BambaForCausalLM,,,,fine-tune,text-generation,728160,0,huggingface
BAAI/bge-base-zh-v1.5,,,,fine-tune,feature-extraction,727002,107,huggingface
microsoft/VibeVoice-Realtime-0.5B,500000000.0,,,pre-train,text-to-speech,724146,1232,huggingface
Qwen/Qwen3-VL-8B-Instruct-FP8,8000000000.0,,,pre-train,image-text-to-text,722398,71,huggingface
state-spaces/mamba-130m-hf,2800000000.0,,,pre-train,text-generation,722132,73,huggingface
timm/vit_small_patch14_dinov2.lvd142m,142000000000.0,,,pre-train,image-feature-extraction,721999,6,huggingface
ZhengPeng7/BiRefNet,,,,pre-train,image-segmentation,721429,591,huggingface
unsloth/Qwen3.5-4B-GGUF,4000000000.0,,,unknown,image-text-to-text,720643,270,huggingface
Helsinki-NLP/opus-mt-fr-en,,,,unknown,translation,718372,53,huggingface
Qwen/Qwen2.5-Math-1.5B,1500000000.0,,,unknown,text-generation,717113,109,huggingface
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,32000000000.0,,,fine-tune,text-generation,713430,1520,huggingface
nvidia/Qwen3.5-397B-A17B-NVFP4,397000000000.0,,,unknown,text-generation,712891,100,huggingface
facebook/opt-1.3b,175000000000.0,a100,400.0,fine-tune,text-generation,712314,184,huggingface
Qwen/Qwen3-TTS-12Hz-1.7B-VoiceDesign,1700000000.0,,,pre-train,text-to-speech,711474,360,huggingface
microsoft/deberta-v3-small,44000000000.0,,,unknown,fill-mask,709079,77,huggingface
meta-llama/Llama-2-7b-hf,7000000000.0,a100,400.0,fine-tune,text-generation,707869,2319,huggingface
microsoft/Phi-tiny-MoE-instruct,3800000000.0,a100,400.0,pre-train,text-generation,702271,38,huggingface
microsoft/wavlm-base-plus,,,,fine-tune,feature-extraction,701517,39,huggingface
stabilityai/sd-turbo,,,,fine-tune,text-to-image,700534,451,huggingface
rednote-hilab/dots.mocr,1000000000.0,,,pre-train,image-text-to-text,699273,131,huggingface
Qwen/Qwen3-TTS-12Hz-0.6B-Base,600000000.0,,,pre-train,text-to-speech,698287,243,huggingface
llava-hf/llava-v1.6-mistral-7b-hf,7000000000.0,,,pre-train,image-text-to-text,695512,310,huggingface
airesearch/wav2vec2-large-xlsr-53-th,,v100,300.0,fine-tune,automatic-speech-recognition,692410,28,huggingface
meta-llama/Llama-3.3-70B-Instruct,70000000000.0,h100,700.0,pre-train,text-generation,691453,2810,huggingface
Qwen/Qwen2-Audio-7B-Instruct,7000000000.0,,,pre-train,audio-text-to-text,690822,536,huggingface
laion/CLIP-ViT-L-14-laion2B-s32B-b82K,2000000000.0,a100,400.0,unknown,zero-shot-image-classification,690398,64,huggingface
Qwen/Qwen3.5-35B-A3B-GPTQ-Int4,35000000000.0,t4,70.0,unknown,image-text-to-text,686818,88,huggingface
hugging-quants/Llama-3.2-1B-Instruct-Q8_0-GGUF,1000000000.0,l4,72.0,unknown,text-generation,682117,46,huggingface
google/mobilebert-uncased,,,,unknown,unknown,678247,74,huggingface
nvidia/NVIDIA-Nemotron-3-Nano-4B-BF16,9000000000.0,a100,400.0,fine-tune,text-generation,677762,91,huggingface
google/siglip2-so400m-patch14-384,400000000000.0,,,pre-train,zero-shot-image-classification,676428,86,huggingface
Salesforce/blip-image-captioning-large,,,,pre-train,image-to-text,675906,1475,huggingface
Babelscape/wikineural-multilingual-ner,,,,fine-tune,token-classification,670077,164,huggingface
facebook/esm2_t30_150M_UR50D,15000000000.0,t4,70.0,unknown,fill-mask,667834,10,huggingface
livekit/turn-detector,500000000.0,t4,70.0,fine-tune,text-classification,666641,107,huggingface
yiyanghkust/finbert-tone,4900000000.0,,,fine-tune,text-classification,666539,219,huggingface
hustvl/yolos-small,,,,fine-tune,object-detection,666325,94,huggingface
google/gemma-4-E4B,2000000000.0,,,pre-train,any-to-any,663375,306,huggingface
Alibaba-NLP/gte-base-en-v1.5,7000000000.0,,,pre-train,sentence-similarity,662083,71,huggingface
facebook/wav2vec2-lv-60-espeak-cv-ft,,,,fine-tune,automatic-speech-recognition,660937,69,huggingface
unsloth/gemma-4-12b-it-GGUF,12000000000.0,,,fine-tune,image-text-to-text,660140,538,huggingface
kaitchup/Phi-3-mini-4k-instruct-gptq-4bit,,,,fine-tune,text-generation,657938,2,huggingface
allenai/unifiedqa-t5-small,,,,unknown,unknown,651017,5,huggingface
lmg-anon/vntl-llama3-8b-v2-gguf,8000000000.0,,,unknown,translation,650254,14,huggingface
meta-llama/Llama-3.1-70B-Instruct,70000000000.0,h100,700.0,pre-train,text-generation,647794,922,huggingface
SWivid/F5-TTS,,,,unknown,text-to-speech,646717,1177,huggingface
intfloat/e5-base,,,,pre-train,sentence-similarity,646264,25,huggingface
distilbert/distilbert-base-multilingual-cased,134000000000.0,,,fine-tune,fill-mask,646087,242,huggingface
jinaai/jina-embeddings-v2-base-code,150000000.0,,,pre-train,feature-extraction,640573,139,huggingface
DavidAU/Qwen3.6-27B-Heretic-Uncensored-FINETUNE-NEO-CODE-Di-IMatrix-MAX-GGUF,27000000000.0,,,fine-tune,image-text-to-text,637739,291,huggingface
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,30000000000.0,a100,400.0,fine-tune,text-generation,635459,155,huggingface
nvidia/llama-nemotron-embed-1b-v2,1000000000.0,a100,400.0,fine-tune,image-feature-extraction,628470,57,huggingface
HuggingFaceTB/SmolVLM2-500M-Video-Instruct,8000000000.0,t4,70.0,pre-train,image-text-to-text,628083,148,huggingface
unsloth/gemma-4-31B-it-GGUF,31000000000.0,,,fine-tune,image-text-to-text,627204,488,huggingface
HauhauCS/Gemma-4-E4B-Uncensored-HauhauCS-Aggressive,4000000000.0,,,unknown,image-text-to-text,626247,766,huggingface
Qwen/Qwen2-7B-Instruct,72000000000.0,,,pre-train,text-generation,624946,687,huggingface
EleutherAI/gpt-neox-20b,20000000000.0,,,fine-tune,text-generation,624407,584,huggingface
PaddlePaddle/PP-OCRv5_server_det,,,,unknown,image-to-text,623512,68,huggingface
briaai/RMBG-2.0,,t4,70.0,pre-train,image-segmentation,620472,1252,huggingface
google-bert/bert-base-chinese,,,,pre-train,fill-mask,619409,1434,huggingface
unsloth/Qwen3.6-27B-NVFP4,27000000000.0,,,unknown,image-text-to-text,618922,79,huggingface
Helsinki-NLP/opus-mt-es-en,,,,unknown,translation,618641,80,huggingface
DavidAU/Qwen3.6-40B-Claude-4.6-Opus-Deckard-Heretic-Uncensored-Thinking-NEO-CODE-Di-IMatrix-MAX-GGUF,40000000000.0,,,unknown,image-text-to-text,618578,267,huggingface
biohub/ESMC-6B,6000000000.0,,,fine-tune,fill-mask,614383,12,huggingface
lxyuan/distilbert-base-multilingual-cased-sentiments-student,,,,unknown,text-classification,614352,312,huggingface
unsloth/Qwen3-4B,4000000000.0,,,pre-train,unknown,613809,19,huggingface
jinaai/jina-bert-flash-implementation,,,,unknown,unknown,613172,5,huggingface
microsoft/Phi-3-mini-4k-instruct,13000000000.0,a100,400.0,fine-tune,text-generation,610575,1431,huggingface
ggml-org/models-moved,,,,unknown,unknown,610570,13,huggingface
Helsinki-NLP/opus-mt-tr-en,,,,unknown,translation,607438,60,huggingface
ByteDance-Seed/UI-TARS-1.5-7B,72000000000.0,,,unknown,image-text-to-text,606345,562,huggingface
minishlab/potion-base-8M,6000000000.0,,,pre-train,unknown,605675,77,huggingface
Comfy-Org/Qwen-Image-Edit_ComfyUI,,,,unknown,unknown,605424,408,huggingface
MiniMaxAI/MiniMax-M2.5,3520000.0,,,unknown,text-generation,604325,1493,huggingface
oliverguhr/fullstop-punctuation-multilang-large,,,,unknown,token-classification,603119,177,huggingface
autogluon/mitra-regressor,72000000000.0,,,pre-train,tabular-regression,601868,29,huggingface
